Date,Open,High,Low,Close,Adj Close,Volume
2023-03-06,3.110000,3.110000,3.110000,3.110000,3.088613,0
2023-03-07,3.110000,3.110000,3.110000,3.110000,3.088613,0
2023-03-08,3.110000,3.110000,3.110000,3.110000,3.088613,0
2023-03-09,3.110000,3.110000,3.110000,3.110000,3.088613,0
2023-03-10,3.110000,3.110000,3.110000,3.110000,3.088613,0
2023-03-13,2.730000,2.830000,2.730000,2.830000,2.810538,894
2023-03-14,2.840000,2.840000,2.720000,2.720000,2.701295,2000
2023-03-15,2.750000,2.770000,2.750000,2.770000,2.750951,800
2023-03-16,2.770000,2.770000,2.770000,2.770000,2.750951,0
2023-03-17,3.010000,3.010000,3.010000,3.010000,2.989300,490
2023-03-20,3.010000,3.010000,3.010000,3.010000,2.989300,0
2023-03-21,3.010000,3.010000,3.010000,3.010000,2.989300,0
2023-03-22,3.010000,3.010000,3.010000,3.010000,2.989300,0
2023-03-23,2.510000,2.510000,2.390700,2.460000,2.443083,406
2023-03-24,2.560000,2.560000,2.560000,2.560000,2.542395,100
2023-03-27,2.560000,2.560000,2.560000,2.560000,2.542395,0
2023-03-28,2.560000,2.560000,2.560000,2.560000,2.542395,0
2023-03-29,2.560000,2.560000,2.560000,2.560000,2.542395,0
2023-03-30,2.560000,2.560000,2.560000,2.560000,2.542395,0
2023-03-31,2.560000,2.560000,2.560000,2.560000,2.542395,0
2023-04-03,2.560000,2.560000,2.560000,2.560000,2.542395,0
2023-04-04,2.430000,2.430000,2.430000,2.430000,2.413289,800
2023-04-05,2.430000,2.430000,2.430000,2.430000,2.413289,0
2023-04-06,2.430000,2.430000,2.430000,2.430000,2.413289,0
2023-04-10,2.430000,2.430000,2.430000,2.430000,2.413289,0
2023-04-11,2.770000,2.940000,2.770000,2.940000,2.919782,3625
2023-04-12,3.050000,3.070000,3.050000,3.070000,3.048888,6270
2023-04-13,3.070000,3.070000,3.070000,3.070000,3.048888,0
2023-04-14,3.070000,3.070000,3.070000,3.070000,3.048888,0
2023-04-17,3.070000,3.070000,3.070000,3.070000,3.048888,0
2023-04-18,3.070000,3.070000,3.070000,3.070000,3.048888,0
2023-04-19,2.650300,2.670000,2.650300,2.670000,2.651639,230
2023-04-20,2.500000,2.615000,2.500000,2.615000,2.597017,352
2023-04-21,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-04-24,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-04-25,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-04-26,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-04-27,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-04-28,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-05-01,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-05-02,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-05-03,2.615000,2.615000,2.615000,2.615000,2.597017,0
2023-05-04,2.800000,2.800000,2.800000,2.800000,2.780745,5000
2023-05-05,2.800000,2.800000,2.800000,2.800000,2.780745,0
2023-05-08,2.800000,2.800000,2.800000,2.800000,2.780745,0
2023-05-09,3.290000,3.355000,3.290000,3.355000,3.331928,498
2023-05-10,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-11,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-12,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-15,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-16,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-17,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-18,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-19,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-22,3.355000,3.355000,3.355000,3.355000,3.331928,0
2023-05-23,3.045000,3.045000,3.045000,3.045000,3.024060,4595
2023-05-24,3.045000,3.045000,3.045000,3.045000,3.024060,0
2023-05-25,3.045000,3.045000,3.045000,3.045000,3.024060,0
2023-05-26,3.045000,3.045000,3.045000,3.045000,3.024060,0
2023-05-30,3.045000,3.045000,3.045000,3.045000,3.024060,0
2023-05-31,3.045000,3.045000,3.045000,3.045000,3.024060,0
2023-06-01,3.040000,3.040000,3.040000,3.040000,3.019094,130
2023-06-02,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-05,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-06,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-07,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-08,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-09,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-12,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-13,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-14,3.040000,3.040000,3.040000,3.040000,3.019094,0
2023-06-15,3.145000,3.145000,3.145000,3.145000,3.123372,1999
2023-06-16,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-20,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-21,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-22,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-23,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-26,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-27,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-28,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-29,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-06-30,3.145000,3.145000,3.145000,3.145000,3.123372,0
2023-07-03,2.810500,2.810500,2.810500,2.810500,2.791172,1443
